Date,Close/Last,Volume,Open,High,Low
02/07/2025,$185.34,49314960,$191.05,$191.18,$183.24
02/06/2025,$191.60,29297440,$189.50,$192.10,$188.72
02/05/2025,$191.33,70461770,$191.07,$192.75,$188.03
02/04/2025,$206.38,43856430,$203.39,$207.05,$202.81
02/03/2025,$201.23,27838350,$200.69,$203.75,$200.10
01/31/2025,$204.02,32041950,$202.00,$205.48,$201.80
01/30/2025,$200.87,24354680,$198.00,$201.40,$197.67
01/29/2025,$195.41,18218260,$195.555,$196.785,$193.43
01/28/2025,$195.30,24157930,$192.745,$195.48,$190.68
01/27/2025,$191.81,41728890,$192.41,$196.88,$190.73
01/24/2025,$200.21,23877520,$198.10,$200.90,$198.00
01/23/2025,$197.98,26951360,$198.14,$200.30,$195.20
01/22/2025,$198.37,26200620,$199.06,$200.48,$197.53
01/21/2025,$198.05,29971290,$199.07,$202.29,$197.87
01/17/2025,$196.00,27735090,$196.53,$197.23,$193.75
01/16/2025,$192.91,17815430,$194.14,$195.48,$192.81
01/15/2025,$195.55,21775970,$193.09,$196.36,$191.86
01/14/2025,$189.66,17174850,$191.24,$191.98,$188.3082
01/13/2025,$191.01,21823700,$190.07,$191.18,$187.36
01/10/2025,$192.04,26665210,$194.295,$196.52,$190.31
01/08/2025,$193.95,24864770,$192.57,$196.29,$192.38
01/07/2025,$195.49,26487240,$197.11,$201.00,$194.60
01/06/2025,$196.87,29563640,$193.98,$198.2222,$193.85
01/03/2025,$191.79,18596160,$191.37,$193.21,$189.975
01/02/2025,$189.43,20370830,$190.65,$192.00,$187.50
