Date,Close/Last,Volume,Open,High,Low
02/07/2025,$107.56,46082500,$109.13,$109.92,$106.79
02/06/2025,$110.16,50426590,$110.93,$112.56,$109.02
02/05/2025,$112.01,110609300,$107.61,$112.09,$106.50
02/04/2025,$119.50,69412090,$115.45,$119.85,$114.79
02/03/2025,$114.27,34586050,$113.875,$115.16,$112.98
01/31/2025,$115.95,40533570,$119.14,$119.565,$115.33
01/30/2025,$118.86,29788380,$118.53,$120.44,$117.09
01/29/2025,$117.35,40199050,$115.77,$118.52,$114.96
01/28/2025,$114.17,40554760,$115.175,$116.15,$112.95
01/27/2025,$115.01,61067890,$117.80,$118.08,$112.80
01/24/2025,$122.84,31570300,$124.55,$125.25,$122.23
01/23/2025,$123.04,24921110,$121.425,$123.71,$120.63
01/22/2025,$123.75,35023840,$123.08,$125.65,$121.912
01/21/2025,$122.28,31578830,$122.39,$123.75,$121.1201
01/17/2025,$121.46,35765920,$120.78,$122.74,$120.55
01/16/2025,$118.44,29414130,$120.24,$121.09,$118.25
01/15/2025,$119.96,38185820,$117.55,$120.42,$117.46
01/14/2025,$116.09,37005280,$118.00,$118.66,$114.50
01/13/2025,$117.32,39128900,$115.28,$117.48,$114.41
01/10/2025,$116.04,59415610,$118.18,$118.71,$114.4501
01/08/2025,$121.84,46723140,$124.51,$125.30,$120.1201
01/07/2025,$127.33,39220410,$130.51,$131.71,$126.8537
01/06/2025,$129.55,48020190,$129.07,$130.73,$127.36
01/03/2025,$125.37,36785300,$121.65,$125.56,$121.42
01/02/2025,$120.63,34256180,$122.29,$123.14,$119.44
