Date,Close/Last,Volume,Open,High,Low
02/07/2025,$203.21,1772372,$206.94,$207.415,$202.805
02/06/2025,$206.64,3633940,$205.60,$207.00,$203.50
02/05/2025,$203.78,2371958,$201.82,$204.00,$198.90
02/04/2025,$200.12,3090109,$202.45,$203.46,$199.49
02/03/2025,$200.91,3050102,$199.74,$202.30,$197.115
01/31/2025,$203.71,2752181,$203.08,$206.62,$203.08
01/30/2025,$204.62,2840182,$206.05,$208.63,$203.03
01/29/2025,$203.91,2906594,$202.54,$206.29,$202.54
01/28/2025,$203.12,3495435,$201.39,$204.79,$200.62
01/27/2025,$202.51,2859795,$203.02,$204.56,$200.21
01/24/2025,$203.53,4654180,$202.64,$205.43,$202.3195
01/23/2025,$204.03,5093951,$202.30,$207.24,$200.89
01/22/2025,$200.93,7313816,$196.74,$202.15,$195.343
01/21/2025,$193.21,4203668,$191.00,$194.14,$191.00
01/17/2025,$190.97,3723993,$189.00,$193.17,$187.92
01/16/2025,$188.44,2802246,$189.99,$192.18,$187.50
01/15/2025,$190.68,4534081,$191.17,$192.085,$188.33
01/14/2025,$184.72,3534601,$182.45,$185.05,$181.10
01/13/2025,$180.33,4205409,$175.48,$180.51,$174.75
01/10/2025,$175.29,4405273,$179.09,$179.25,$174.66
01/08/2025,$180.14,2355404,$180.45,$181.39,$178.87
01/07/2025,$181.89,2508305,$184.98,$185.39,$180.62
01/06/2025,$183.52,2277942,$184.98,$185.70,$181.81
01/03/2025,$180.43,1886746,$180.00,$180.52,$177.22
01/02/2025,$178.71,1792943,$180.00,$182.19,$177.09
