Date,Close/Last,Volume,Open,High,Low
02/07/2025,$1043.81,1632854,$1047.00,$1056.71,$1035.51
02/06/2025,$1050.99,2218045,$1050.00,$1063.00,$1044.20
02/05/2025,$1042.88,2050058,$1020.00,$1043.09,$1020.00
02/04/2025,$1021.86,2001641,$1005.40,$1024.35,$999.65
02/03/2025,$1005.83,2751018,$972.385,$1009.6105,$968.94
01/31/2025,$979.88,1875713,$976.24,$991.00,$975.78
01/30/2025,$979.01,1788180,$970.30,$986.75,$970.0975
01/29/2025,$964.02,1713749,$957.80,$968.257,$955.00
01/28/2025,$958.67,2166375,$961.83,$965.71,$954.0657
01/27/2025,$965.25,3044682,$930.00,$966.99,$927.1801
01/24/2025,$939.68,1562422,$942.16,$946.0404,$933.555
01/23/2025,$942.16,1352440,$941.69,$943.39,$936.485
01/22/2025,$944.70,2154991,$951.225,$951.94,$939.24
01/21/2025,$947.73,2042443,$945.25,$956.55,$943.50
01/17/2025,$943.19,2375012,$930.00,$943.80,$924.565
01/16/2025,$919.75,1352957,$924.73,$927.40,$917.82
01/15/2025,$923.50,1839386,$927.26,$932.87,$918.3001
01/14/2025,$917.23,1683757,$924.30,$927.7616,$909.918
01/13/2025,$924.70,1693763,$934.00,$934.99,$921.00
01/10/2025,$936.94,2765797,$933.36,$944.28,$923.50
01/08/2025,$927.37,1774763,$922.975,$930.4999,$915.415
01/07/2025,$921.37,1887982,$923.84,$931.305,$916.43
01/06/2025,$922.71,1970405,$917.98,$927.4099,$913.27
01/03/2025,$916.58,1614211,$914.33,$924.21,$911.0001
01/02/2025,$909.81,1767658,$915.00,$925.77,$902.00
