Date,Close/Last,Volume,Open,High,Low
02/07/2025,$202.37,9383462,$194.72,$205.1152,$194.0621
02/06/2025,$172.57,3907756,$169.64,$175.41,$169.585
02/05/2025,$169.73,1686948,$170.60,$172.34,$168.00
02/04/2025,$168.47,1661797,$169.36,$170.28,$167.37
02/03/2025,$169.62,1767554,$165.22,$171.57,$165.22
01/31/2025,$170.95,1701236,$171.67,$173.38,$170.11
01/30/2025,$171.95,1805533,$172.82,$173.65,$170.21
01/29/2025,$171.27,1355731,$171.74,$171.74,$168.38
01/28/2025,$171.77,1498890,$170.28,$172.87,$167.76
01/27/2025,$169.11,1808682,$170.71,$174.42,$168.40
01/24/2025,$171.23,2203636,$176.90,$177.19,$169.2201
01/23/2025,$176.89,3728545,$173.46,$180.77,$168.155
01/22/2025,$173.65,3050085,$181.80,$182.35,$172.84
01/21/2025,$181.40,2033574,$189.05,$189.50,$178.80
01/17/2025,$187.28,1909799,$190.00,$191.105,$185.66
01/16/2025,$188.67,957982,$186.02,$188.95,$184.918
01/15/2025,$186.52,1278923,$186.52,$187.135,$185.51
01/14/2025,$183.19,1017517,$182.00,$184.85,$181.50
01/13/2025,$181.30,1099444,$179.20,$181.33,$177.41
01/10/2025,$180.20,1488589,$182.26,$182.26,$179.33
01/08/2025,$182.62,940863,$180.96,$183.29,$180.00
01/07/2025,$182.33,1165288,$184.65,$186.94,$181.06
01/06/2025,$184.99,1346426,$188.00,$188.00,$182.75
01/03/2025,$186.09,902781,$185.61,$187.09,$184.305
01/02/2025,$185.33,919058,$187.38,$187.90,$183.00
